Konge_id,Konge_navn,Slægt,Fødselsår,Usikkert_årstal,Dødsår,Usikkert_årstal,Regeringsperiode_start,Regeringsperiode_slut,År_væk_fra_tronen,år_regeret
1,Gorm_den_Gamle,Jellingekonger,Blank,Blank,958,Ja,936,958,0,22
2,Harald_1_Blåtand,Jellingekonger,932,Ja,987,Nej,958,987,0,29
3,Svend_1_Tveskæg,Jellingekonger,963,Nej,1014,Nej,987,1014,0,27
4,Harald_2,Jellingekonger,Blank,Blank,1018,Ja,1014,1018,0,4
5,Knud_1_den_Store,Jellingekonger,995,Ja,1035,Nej,1018,1035,0,17
6,Hardeknud,Jellingekonger,1020,Ja ,1042,Nej,1035,1042,0,7
7,Magnus_den_Gode,Hårfageræten,1024,Nej,1047,Nej,1042,1047,0,5
8,Svend_2_Estridsen,Jellingekonger,Blank,Blank,1076,Nej,1047,1074,0,27
9,Harald_3_Hen,Jellingekonger,Blank,Blank,1080,Nej,1074,1080,0,6
10,Knud_2_den_Hellige,Jellingekonger,Blank,Blank,1086,Nej,1080,1086,0,6
11,Oluf_1_Hunger,Jellingekonger,Blank,Blank,1095,Nej,1086,1095,0,9
12,Erik_1_Ejegod,Jellingekonger,1056,Ja,1103,Nej,1095,1103,0,8
13,Niels,Jellingekonger,Blank,Blank,1134,Nej,1104,1134,0,30
14,Erik_2_Emune,Jellingekonger,Blank,Blank,1137,Nej,1134,1137,0,3
15,Erik_3_Lam,Jellingekonger,Blank,Blank,1146,Nej,1137,1146,0,9
17,Valdemar_1_den_Store,Jellingekonger,1131,Nej,1182,Nej,1157,1182,0,25
18,Knud_4_og_6,Jellingekonger,1163,Ja,1202,Nej,1182,1202,0,20
19,Valdemar_2_Sejr,Jellingekonger,1170,Nej,1241,Nej,1202,1241,0,39
20,Erik_4_Plovpenning,Jellingekonger,1216,Nej,1250,Nej,1241,1250,0,9
21,Abel,Jellingekonger,1218,Ja,1252,Nej,1250,1252,0,2
22,Christoffer_1,Jellingekonger,1219,Ja,1259,Nej,1252,1252,0,0
23,Erik_5_Klipping,Jellingekonger,1249,Nej,1286,Nej,1259,1286,0,27
24,Erik_6_Menved,Jellingekonger,1274,Nej,1319,Nej,1286,1319,0,33
25,Christoffer_2,Jellingekonger,1276,Nej,1332,Nej,1319,1332,4,9
26,Valdemar_3,Jellingekonger,1314,Ja,1364,Nej,1326,1329,0,3
27,Valdemar_4_Atterdag,Jellingekonger,1320,Ja,1375,Nej,1340,1375,0,35
28,Oluf_2,Jellingekonger,1370,Nej,1387,Nej,1375,1387,0,12
29,Margrete_1,Jellingekonger,1353,Nej,1412,Nej,1387,1396,0,9
30,Erik_7_af_Pommern,Jellingekonger,1382,Nej,1459,Nej,1396,1439,0,43
31,Christoffer_3_af_Bayern,Jellingekonger,1416,Nej,1448,Nej,1440,1448,0,8
32,Christian_1,Oldenborgske,1426,Nej,1481,Nej,1448,1481,0,33
33,Hans,Oldenborgske,1455,Nej,1513,Nej,1482,1513,0,31
34,Christian_2,Oldenborgske,1481,Nej,1559,Nej,1513,1523,0,10
35,Frederik_1,Oldenborgske,1471,Nej,1533,Nej,1523,1533,0,10
36,Christian_3,Oldenborgske,1503,Nej,1559,Nej,1536,1559,0,23
37,Frederik_2,Oldenborgske,1534,Nej,1588,Nej,1559,1588,0,29
38,Christian_4,Oldenborgske,1577,Nej,1648,Nej,1596,1648,0,52
39,Frederik_3,Oldenborgske,1609,Nej,1670,Nej,1648,1670,0,22
40,Christian_5,Oldenborgske,1646,Nej,1699,Nej,1670,1699,0,29
41,Frederik_4,Oldenborgske,1671,Nej,1730,Nej,1699,1730,0,31
42,Christian_6,Oldenborgske,1699,Nej,1746,Nej,1730,1746,0,16
43,Frederik_5,Oldenborgske,1723,Nej,1766,Nej,1746,1766,0,20
44,Christian_7,Oldenborgske,1749,Nej,1808,Nej,1766,1808,0,42
45,Frederik_6,Oldenborgske,1768,Nej,1839,Nej,1808,1839,0,31
46,Christian_8,Oldenborgske,1786,Nej,1848,Nej,1839,1848,0,9
47,Frederik_7,Oldenborgske,1808,Nej,1863,Nej,1848,1863,0,15
48,Christian_9,Glüksborgske,1818,Nej,1906,Nej,1863,1906,0,43
49,Frederik_8,Glüksborgske,1843,Nej,1912,Nej,1906,1912,0,6
50,Christian_10,Glüksborgske,1870,Nej,1947,Nej,1912,1947,0,35
51,Frederik_9,Glüksborgske,1899,Nej,1972,Nej,1947,1972,0,25
52,Margrete_2,Glüksborgske,1940,Blank,Blank,Blank,1972,2024,0,52
53,Frederik_10,Glüksborgske,1968,Blank,Blank,Blank,2024,Blank,0,Blank
